,Name,Year,Mileage,Count Raiting,Rating,Fuel type,Interior color,Exterior_color,Price,bind_price
7831,Tesla Model 3 Long Range,2019,13417.0,1.0,5.0,1, Black , Black ,54499.0,8
7832,Tesla Model 3 Long Range,2019,30282.0,689.0,4.7,1, Black , Midnight Silver Metallic ,48995.0,7
7834,Tesla Model 3 LONG RANGE,2018,36263.0,6.0,1.6,1, Black , Black ,44999.0,7
7835,Tesla Model 3 Long Range,2018,18002.0,186.0,4.5,1, Black , Silver ,45995.0,7
7837,Tesla Model 3 Long Range,2018,38684.0,7341.0,3.7,1, Black , Gray ,43999.0,7
7838,Tesla Model 3 Performance,2020,13646.0,7339.0,3.7,1, White , Midnight Silver Metallic ,61999.0,9
7839,Tesla Model 3 Long Range,2019,24299.0,8384.0,4.3,1, White / Black , Black ,53990.0,8
7840,Tesla Model 3 Long Range,2020,10188.0,8383.0,4.3,1, Black , Gray ,54990.0,8
7841,Tesla Model 3 Long Range,2020,11782.0,8381.0,4.3,1, Black , Black ,52590.0,8
7842,Tesla Model 3 Performance,2018,17320.0,8384.0,4.3,1, Black , Gray ,52990.0,8
7843,Tesla Model 3 Long Range,2017,13057.0,7341.0,3.7,1, Black , Solid Black ,50999.0,8
7844,Tesla Model 3 Performance,2020,30518.0,8383.0,4.3,1, Black , Gray ,55990.0,8
7845,Tesla Model 3 Long Range,2019,12117.0,7339.0,3.7,1, Black , Pearl White Multi-Coat ,53999.0,8
7846,Tesla Model 3 Performance,2021,20519.0,131.0,3.7,1, White / Black , Red Multi ,61950.0,9
7847,Tesla Model 3 Long Range,2018,30469.0,33.0,4.5,1, Black , Black ,50350.0,8
7848,Tesla Model 3 Long Range,2020,19143.0,7344.0,3.7,1, Black , Solid Black ,51999.0,8
7849,Tesla Model 3 Long Range,2020,24747.0,967.0,4.5,1, Black , Gray ,52998.0,8
7850,Tesla Model 3 Long Range,2018,60163.0,26.0,2.6,1, Black , Black ,42499.0,7
7853,Tesla Model 3 Long Range,2020,9311.0,7341.0,3.7,1, Black , Pearl White Multi-Coat ,51499.0,8
7854,Tesla Model 3 Long Range,2021,22482.0,8389.0,4.3,1, White / Black , Black ,55590.0,8
7856,Tesla Model 3 Performance,2020,10373.0,1052.0,4.8,1, White / Black , Pearl White Multi ,61999.0,9
7858,Tesla Model 3 Performance,2019,6261.0,3.0,4.9,1, White / Black , Black ,58998.0,8
7859,Tesla Model 3 Long Range,2018,26407.0,2600.0,4.9,1, Black , Gray ,47500.0,7
